file,RT-5.p,RT-4.p,RT-3.p,RT-2.p,RT-1.p,CONTROL-5.p,CONTROL-4.p,CONTROL-3.p,CONTROL-2.p,CONTROL-1.p,RT+9H10-5.p,RT+9H10-4.p,RT+9H10-3.p,RT+9H10-2.p,RT+9H10-1.p,9H10-5.p,9H10-4.p,9H10-3.p,9H10-2.p,9H10-1.p
RT+9H10-5.p,2.5258036089076735e-10,2.6128233535263276e-16,4.17158455674762e-16,5.164812029997435e-16,5.73003754712699e-16,3.0789242838532e-16,2.2429859897326106e-15,1.0862713010912512e-15,2.831058754644996e-16,4.0077657297501526e-16,24.236347525078127,0.011573910085956303,5.888744181566864e-16,0.030106461703423487,1.8214389762246439e-13,0.001762394992100874,2.264825499311728e-16,3.627723702322169e-16,2.4509549334677995e-08,3.454341612362329e-16
RT+9H10-4.p,2.68350661085296e-17,5.211332343977457e-05,2.4780799238545823e-13,2.3308631789675855e-17,1.6607542634548188e-05,2.128572365830907e-05,5.577357221425177e-17,1.2825476613077669e-17,8.400356023425998e-14,9.032690149157105e-18,0.00024355441657036787,0.0033620281597744736,9.027166437919839e-14,0.019043129900801974,6.2892338525127506e-12,6.805680410100108e-18,9.551365812917582e-18,5.649668709711506e-05,2.4344076000682027e-11,1.206109212781271e-16
RT+9H10-3.p,9.966209752503709e-16,7.185310617143819e-13,8.223246579001482e-17,2.2811863683561012e-15,6.000219721646592e-16,8.624869447981267e-14,0.0005864161567373921,3.792142637470253e-17,0.0005641727852771599,5.840752087064899e-17,6.07741501026474e-17,4.579886077751107e-14,0.5288591709342662,1.5675934990438661e-15,2.954317582712509e-05,4.814852951237444e-15,0.003880081606294486,6.9766905383327e-13,5.2010067160107045e-17,4.74688832857056e-17
RT+9H10-2.p,0.15056139084405568,6.395691569465757e-14,4.88513604211661e-15,0.3797344813322955,1.0566978645980685e-14,6.567562601075719e-15,5.584457004291491e-15,3.743095923953672e-14,0.3616934561655727,0.008974639769214244,0.63740339261065,19.159187066616727,1.5045137496689732e-14,27547.990119622697,5.692714973025462e-14,0.01720598115024067,3.5179832095796006e-14,9.520953857098303e-15,0.009811923945140584,1.456889730593302e-14
RT+9H10-1.p,1.298007503904051e-13,8.914103248465565e-14,1.5550908324815545e-13,6.720168651360089e-13,2.8813764984647836e-13,2.1928686032261385e-05,6.475741500751902e-14,1.2090898487742335e-13,3.986701560615763,4.972013012865881e-13,9.43881327841697e-13,7.115751581326622e-13,0.169821306195525,1.7307533940614724e-13,85086123.25023025,1.7732261542616476,7.314327252062359e-14,4.31653015862119e-13,2.225910854459829e-13,1.2001712224975686e-12
9H10-5.p,4.854889668505969e-15,9.999557855030546e-05,1.4540354520780345e-16,0.00021171630237276678,1.6165279581158902e-15,3.41034999868113e-15,2.066751759410587e-14,4.277779700278306e-15,0.00010999513640548399,1.2046231781543243e-16,0.0005272494145585478,1.3312869275206087e-16,3.1464915857851612e-15,0.0002431294936209706,0.0006393541785786382,3.1848376493179713,1.5944525265777884e-16,1.6272558711793644e-16,0.0005579928202475628,0.00011727422631442022
9H10-4.p,2.1171919577531048e-13,3.643848463739566e-15,6.85793946966145e-13,9.852930282812602e-18,9.853336004612147e-18,1.0219590493122991e-17,8.796160729158091e-05,8.990417721532458e-18,8.462566143708709e-05,7.384249929460886e-13,8.191723494695041e-18,7.31290942081739e-18,0.000400129702869873,1.0086340435585935e-17,9.165509589733216e-18,4.4475301389359726e-18,0.0011282197052441666,2.0707716220507948e-13,1.1981035267600132e-17,7.622425104428689e-17
9H10-3.p,1.931030983672887e-14,3.10391074684889e-18,7.766312907952894e-18,6.676058047578998e-18,6.503116272007483e-06,1.1280657630913415e-17,1.458302496492194e-12,4.0951989838119083e-16,5.609021034765216e-18,0.00020830669236113263,8.098443180848999e-17,1.9562987644114627e-05,1.091627771302261e-12,4.415812322358785e-18,6.341338796872544e-12,2.826551525415151e-18,2.303143574792973e-13,0.00021992812044621372,6.901228874942823e-06,4.351326294311631e-06
9H10-2.p,2.6609908962296067e-16,2.7855243444146324e-17,6.898171816317038e-17,1.9986408038228605e-16,1.3759118846171197e-12,4.156220458814944e-12,1.1267715778544232e-13,2.902810852970328e-17,3.2061320373555874e-17,0.00020390974247047036,1.0846951404787373e-08,2.2939116472820303e-11,5.26503955811944e-17,5.8282129833493236e-05,5.009152212229326e-17,0.0002345587444196374,3.701245107365207e-17,0.00011910615370843772,0.6862594947996228,1.1029420676888846e-15
9H10-1.p,3.8296362588214096e-13,6.578749728781737e-16,2.2070073151759985e-16,0.0003262202752788056,1.513900278198639e-11,1.875592022728986e-16,3.7834688288965355e-16,0.0005049711110476869,5.217794330434152e-16,1.5311410962829447e-16,1.1232024731721114e-15,3.515121465121616e-16,1.7058053118586725e-15,3.605403810292477e-14,1.2606443810478208e-15,0.0004523054123488951,1.2900712692444115e-15,0.000689026001989688,4.516983386316753e-16,124.39936392234861
